t[s],Z,vz,vzd
0.0,0.162,0.0,-2.312802116907317
0.0012500000000000005,0.16199125949747795,-0.0028564172567281084,-2.324433348031207
0.002500000000000001,0.16197857270455804,-0.005758606937924678,-2.2934542673105645
0.0037500000000000003,0.16196214455007676,-0.008672495006640085,-2.226989339190665
0.005,0.1619421799628704,-0.011564007425924708,-2.1321630281167856
0.00625,0.16191888387177533,-0.014399070158828924,-2.016099798534202
0.007500000000000001,0.16189246120562792,-0.017143609168403105,-1.8859241148881896
0.008750000000000003,0.16186311689326457,-0.019763550417697638,-1.7487604416240257
0.01,0.16183105586352156,-0.02222481986976289,-1.6117332431869862
0.01125,0.16179648140927277,-0.02450087137143426,-1.4799577820073229
0.0125,0.16175959027954168,-0.026595270304687224,-1.3505125124551902
0.01375,0.16172057758738934,-0.028519109935282262,-1.2184666868857195
0.015,0.16167963844587666,-0.030283483528979874,-1.0788895576540405
0.01625,0.1616369793610949,-0.03189494913356674,-0.9297652548120499
0.0175,0.16159285241125626,-0.0333419239249343,-0.7807374191987084
0.01875,0.16154752106760323,-0.034608289861000195,-0.6443645693497433
0.02,0.16150124880137826,-0.03567792889968208,-0.5332052238008806
0.02125,0.161454260163543,-0.03654530264747935,-0.45724132233420345
0.0225,0.16140662402393605,-0.03724719130521843,-0.4161484897172182
0.02375,0.16135837033211492,-0.03783095472230757,-0.40702577196378714
0.025,0.16130952903763748,-0.03834395274815493,-0.4269722150877726
0.02625,0.16126010271747945,-0.03883109716631019,-0.4715329379969062
0.0275,0.161209984458289,-0.03932750749688877,-0.5300373511743965
0.02875,0.16115903997413236,-0.03986585519414752,-0.5902609379973213
0.03,0.16110713497907578,-0.04047881171234331,-0.6399791818427579
0.03125,0.16105415889467753,-0.041188869608902404,-0.6696797352786111
0.0325,0.1610000959724639,-0.04197780585392858,-0.6806989276360933
0.03375,0.16094495417145308,-0.04281721852069507,-0.6770852574372427
0.035,0.1608887414506634,-0.04367870568247503,-0.6628872232040983
0.03625,0.16083147256911906,-0.044537236964032986,-0.6413963001558617
0.0375,0.16077318948586786,-0.04538126819609867,-0.6128758703003828
0.03875,0.16071394095996366,-0.0462026267608931,-0.5768322923426743
0.04,0.16065377575046022,-0.046993140040637336,-0.532771924987749
0.04125,0.16059275148363691,-0.04774422463856742,-0.48038243453181306
0.0425,0.16053096125467553,-0.0484456540419795,-0.4200767176358491
0.043750000000000004,0.16046850702598334,-0.04908679095918472,-0.3524489785520333
0.045,0.16040549075996774,-0.04965699809849425,-0.27809342153254235
0.04625,0.160342020807629,-0.050146133180675075,-0.1975401350757129
0.0475,0.16027823107433922,-0.05054603397631751,-0.11106274466452698
0.04875,0.1602142618540635,-0.050849033268467736,-0.018870760028127338
0.05,0.1601502534407669,-0.051047463840171885,0.0788263091043433
0.051250000000000004,0.1600863516447955,-0.05113383310819007,0.18181734470166905
0.0525,0.16002272434201986,-0.05110134702413818,0.2898847955243404
0.05375,0.15995954492469122,-0.05094338617334603,0.4028095020307765
0.055,0.15989698678506115,-0.05065333114114345,0.5203723046793947
0.05625,0.15983522791839758,-0.05022474513449318,0.6423540039756646
0.0575,0.1597744647320348,-0.04965192184688973,0.768535240613262
0.058750000000000004,0.15971489823632348,-0.04892933759346049,0.8986966153329145
0.06,0.15965672944161452,-0.04805146868933292,1.0326187288753488
0.06125,0.15960016304716518,-0.047012974285369,1.1700801160572036
0.0625,0.15954541850785908,-0.04580924487536923,1.3108510479987558
0.06375,0.15949271896748646,-0.04443585378886866,1.4546997298961917
0.065,0.1594422875698375,-0.04288837435540239,1.6013943669456978
0.06625,0.15939435018178252,-0.04116257306611006,1.7508009037375307
0.0675,0.15934914356251242,-0.03925498905854968,1.903176242438225
0.06875,0.1593069071942983,-0.03716235463188385,2.0588750246083842
0.07,0.15926788055941113,-0.034881402085275126,2.218251891808613
0.07125000000000001,0.15923230734088026,-0.03240856818324662,2.3814579553214115
0.0725,0.1592004480247681,-0.02973910755176352,2.5478302053168673
0.07375,0.15917256729789525,-0.026867979282151414,2.7165021016869693
0.075,0.15914892984708245,-0.02379014246573598,2.8866071043237014
0.07625,0.1591298009493236,-0.02050127831058498,3.057636118595675
0.0775,0.15911544824230553,-0.016999956491734514,3.2305098317780043
