t[s],Z,vz,vzd
0.0,0.162,0.0,-2.312802116907317
0.005,0.1619421799628704,-0.011564007425924708,-2.1321630281167856
0.01,0.16183105586352156,-0.022224819869762893,-1.6117332431869862
0.015,0.16167963844587666,-0.030283483528979874,-1.0788895576540405
0.02,0.16150124880137826,-0.03567792889968208,-0.5332052238008806
0.025,0.16130952903763748,-0.038343952748154934,-0.4269722150877726
0.03,0.16110713497907578,-0.04047881171234331,-0.639979181842758
0.035,0.1608887414506634,-0.04367870568247503,-0.6628872232040983
0.04,0.16065377575046022,-0.04699314004063734,-0.532771924987749
0.045,0.16040549075996774,-0.04965699809849425,-0.27809342153254235
0.05,0.1601502534407669,-0.05104746384017188,0.0788263091043433
0.055,0.15989698678506117,-0.05065333114114345,0.5203723046793947
0.06,0.15965672944161452,-0.04805146868933292,1.0326187288753488
0.065,0.1594422875698375,-0.04288837435540239,1.6013943669456978
0.07,0.15926788055941113,-0.034881402085275126,2.218251891808613
0.075,0.15914892984708245,-0.02379014246573598,2.8866071043237014
0.08,0.1591021443119322,-0.00935710703004799,3.5869038858806803
0.085,0.15914503137202832,0.00857741201922251,4.318440963035954
0.09,0.15929587945263313,0.030169616120963694,4.827826717911172
0.095,0.1595674231997054,0.05430874941445547,4.869264452885389
0.1,0.15996069855700096,0.07865507145910838,4.8624265888883755
0.105,0.16047553457728686,0.10296720405717961,4.852314208140186
0.11,0.16111167844299476,0.1272287731415808,4.872411996563727
0.115,0.1618696326066107,0.15159083272318508,4.868508846025115
0.12,0.16274929948922498,0.17593337652285615,4.8601916144548625
0.125,0.16375047115992916,0.20023433414083774,4.847722593259299
0.13,0.16487283589309623,0.22447294663341139,4.831426657757746
0.135,0.16611598629026542,0.24863007943383453,4.811550637846835
0.14,0.16747942545088954,0.27268783212482295,4.788377690639912
0.145,0.16896257405126333,0.2966297200747591,4.762166716042522
0.15,0.17056477681702095,0.320440553151525,4.73317142674356
0.155,0.17228530886595314,0.3441064097864396,4.70188976128167
0.16,0.1741233881564785,0.3676158581050695,4.673019614489917
0.165,0.17607829293510288,0.39098095572487723,4.620146267625806
0.17,0.1781487013678586,0.4140816865511433,4.581754110326656
0.175,0.18033365365091136,0.43699045661055524,4.540839192219551
0.18,0.18263212691142258,0.4596946521022423,4.497496274440138
0.185,0.18504303757654392,0.48218213302426716,4.4521051088907555
0.19,0.18756525086720113,0.5044426581314451,4.404991534425477
0.195,0.19019758894409455,0.5264676153786861,4.356491192280949
0.2,0.19293883929873032,0.5482500709271506,4.30692626590546
0.205,0.19578776280800625,0.5697847018551833,4.256604041124795
0.21,0.19874310141635734,0.5910677216702177,4.205869751777556
0.215,0.20180358676660248,0.6120970700490292,4.15448429598926
0.22,0.20496793422238718,0.6328694911569421,4.103438323364987
0.225,0.20823486763443877,0.6533866824103165,4.052409925661085
0.23,0.2116031112928493,0.6736487316821079,4.002180187964246
0.235,0.21507140945421394,0.6936596322729269,3.9523304323843185
0.24,0.21863851587467162,0.713421284091537,3.903287832642178
0.245,0.22230320448925323,0.7329377229163202,3.855172003642817
0.25,0.2260642724022538,0.7522135826001144,3.8081089696774377
0.255,0.22992054303783996,0.7712541271172342,3.762205591812652
0.26,0.23387086881157676,0.7900651547473592,3.717549816515689
0.265,0.2379141333290895,0.8086529035025467,3.6742104858792928
0.27,0.24204925310711636,0.8270239556053707,3.632244083806423
0.275,0.2462751789856064,0.8451851756980099,3.5917641644169933
0.28,0.2505908989665743,0.8631439961935876,3.5526471075219277
0.285,0.2549954351235938,0.880907231403891,3.5149974309003476
0.29,0.25948784621474413,0.8984822182300701,3.4787862260570677
0.295,0.2640672269598986,0.9158761490308862,3.4439622083397943
0.3,0.2687327067586082,0.9330959597419267,3.4104810177774674
0.305,0.2734834485811038,0.9501483644991146,3.378280045823093
0.31,0.27831864740308304,0.9670397643958474,3.347243647212153
0.315,0.2832375273145797,0.9837759822993315,3.3172685977193908
0.32,0.2882393389393592,1.000362324955905,3.288206795885799
0.325,0.2933233557323834,1.0168033586048288,3.259878647852954
0.33,0.2984888694899649,1.0331027515162998,3.232076645095404
0.335,0.3037351851620556,1.0492631344181471,3.204557506663484
0.34,0.30906161477022426,1.065285921633732,3.177027961586429
0.345,0.31446747007588344,1.0811710611318388,3.149148976246199
0.35,0.31995205410445077,1.0969168057134628,3.120513326233521
0.355,0.32551465096473997,1.112519372057842,3.090649527596714
0.36,0.3311545140618638,1.1279726194247657,3.0590172904739035
0.365,0.3368708525899891,1.1432677056250593,3.0249646121108658
0.37,0.34266281523226955,1.1583925284560848,2.9877817828741904
0.375,0.3485294724181067,1.1733314371674375,2.9460647714663537
0.38,0.3544697812223642,1.1880617608515038,2.8994795409810923
0.385,0.360482577014454,1.2025591584179627,2.846355851414776
0.39,0.36656653170233344,1.216790937575887,2.7852371846634334
0.395,0.37272011731955407,1.230717123444125,2.714332180096303
0.4,0.3789415612412467,1.2442887843385277,2.6315160479165716
0.405,0.385228793064377,1.2574463646260599,2.53406148663794
0.41,0.3915793764252069,1.2701166721659818,2.419311001408884
0.415,0.39799044256192606,1.2822132273438271,2.283499463655591
0.42,0.4044585961864351,1.29363072490181,2.1224281745244706
0.425,0.41097981051687354,1.3042428660876886,1.9310992778241882
0.43,0.4175493023312132,1.3138983628679235,1.7038685290695605
0.435,0.42416139086114496,1.322417705986356,1.4340406001595278
0.44,0.4308093304088741,1.3295879095458234,1.1140523438475576
0.445,0.4374851212684362,1.335158171912416,0.7354973790173212
0.45,0.4441792995661666,1.3388356595460793,0.2891255426455963
0.455,0.45088070600662117,1.3402812880909134,-0.23341439305199874
0.46,0.45757627709188353,1.3391142170524712,-0.843683578808025
0.465,0.464250756092784,1.3348958001800921,-1.5513657570333885
0.47,0.4708864509553348,1.3271389725101679,-2.3675516947501474
0.475,0.47746295703154407,1.31530121524185,-3.3049961262417122
0.48,0.4839568382110445,1.298776235900088,-4.380168216939664
0.485,0.49034121519194057,1.2768753961792088,-5.62149671649531
0.49,0.4965850547620474,1.2487679140213643,-6.929060193962561
0.495,0.5026556678354216,1.2141226146748498,-9.248142817830576
0.5,0.5084950773666315,1.167881906241968,-19.153462970409574
0.505,0.5138556503199854,1.0721145906707796,-7.807503624841892
0.51,0.5190210356820788,1.0330770724186886,-8.326983685414088
0.515,0.5239782464550745,0.9914421545991495,-9.549503650565569
0.52,0.5286967196407485,0.9436946371347935,-9.949738996584507
0.525,0.5331664493538771,0.8939459426257261,-9.706157660537274
0.53,0.5373935251253229,0.8454151542891521,-9.231960169267104
0.535,0.5413898018901045,0.7992553529563371,-8.808070699164444
0.54,0.5451658768835469,0.7552149986884769,-8.549015499006462
0.545,0.5487282264850928,0.7124699203091767,-8.462546356018217
0.55,0.5520790124234071,0.6701571876628586,-8.5101143272025
0.555,0.5552170454996911,0.6276066152568073,-8.644013249664738
0.56,0.5581389782415431,0.5843865483703982,-8.823882474725538
0.565,0.5608403139190344,0.540267135498266,-9.021033644811643
0.57,0.5633161237535693,0.4951619669069755,-9.217355205360741
0.575,0.5655614997067113,0.4490751906284086,-9.402625445733563
0.58,0.5675718100229377,0.4020620632452593,-9.571922013636781
0.585,0.569342822288448,0.3542024531020797,-9.723646346411686
0.59,0.5708707433952402,0.30558422135844965,-9.85817535420295
0.595,0.5721522101183677,0.2562933446254969,-9.976995245758475
0.6,0.5731842519607326,0.2064083684729969,-10.082162505150793
0.605,0.573964239740996,0.15599755605265897,-10.175972743762301
0.61,0.574489828203303,0.10511769246139407,-10.260757328564448
0.615,0.5747588977331187,0.05381390596315212,-10.338757529424283
0.62,0.5747694983254898,0.0021201184742219506,-10.412045482557678
0.625,0.5745197977816462,-0.04994010876872587,-10.482473095512853
0.63,0.5740080354113187,-0.10235247406549915,-10.551636908718443
0.635,0.5732324821192338,-0.15511065841696844,-10.620850944725978
0.64,0.5721914075545546,-0.20821491293585137,-10.69112201629231
0.645,0.570883054940565,-0.2616705227979004,-10.763123565793137
0.65,0.5693056242386142,-0.31548614039015777,-10.837165262279582
0.655,0.5674572644063917,-0.36967196644450045,-10.91315648703787
0.66,0.5653360756633966,-0.4242377485990009,-10.990562592037788
0.665,0.5629401228571388,-0.479190561251557,-11.068353466300508
0.67,0.5602674612159118,-0.5345323282453999,-11.144944515857595
