time,x,y,xd,yd,zdd,h,q1,q2,q1d,q2d,tau1,tau2,Fx,Fy,Fz,basepos
0.001,0.24977608488853079,0.0002059876199823063,-0.002266318494121216,0.0011725676249688668,0.0,0.24977608488853079,-0.8955567296492006,1.7927628371671915,-0.0025488155454784066,0.014501540476057007,0.8435319368193698,-2.885270952854527,35.08138233565563,37.76510210612669,36.094580491915075,0.25666251126301576
0.002,0.24980288941128534,0.00024019721327567245,0.02680125858806586,0.03421326284971745,3.0240682121526685,0.24980288941128534,-0.8953339772229313,1.7925910478081148,0.2227524262693698,-0.1717893590765862,-9.0,9.0,18.920344378814775,0.552117411973977,15.148849678516054,0.25666172469333365
0.003,0.24863733592825263,0.0009542991083633379,-1.1682970597839675,0.7107444928022069,0.0,0.24863733592825263,-0.8961772852683406,1.8000307662204136,-0.8433080454093602,7.439718412298832,9.0,-9.0,0.0,0.0,0.0,0.256596516909844
0.004,0.24866460433229562,0.000965408505389842,0.02726721125053335,0.011110601051829129,42.98108678013926,0.24866460433229562,-0.8960458648789643,1.7998564348115662,0.13142038937630485,-0.17433140884746334,-3.682427587442558,-9.0,0.0,0.0,0.0,0.25657838730580534
0.005,0.24978635572470276,0.00016315467659205884,1.1188593543004512,-0.8058735669724019,0.0,0.24978635572470276,-0.8956954685174676,1.7926972906419283,0.35039636149673703,-7.1591441696379645,9.0,9.0,0.0,0.0,0.0,0.2565813590892921
0.006,0.24976413418125537,0.0001593131613057408,-0.022222204894343255,-0.003841175181851595,-27.865245081078186,0.24976413418125537,-0.8957819238375336,1.7928395563769752,-0.08645532006598522,0.142265735047031,1.2649591428494678,-9.0,32.31525555247405,-33.08163800525384,-66.63803938503099,0.2565538093240207
0.007,0.2497653273487696,0.0001534690299031527,0.0011930973318653466,-0.005844159282532315,22.333259588571664,0.2497653273487696,-0.8958015181852264,1.7928319420173495,-0.019594347692760694,-0.007614359625672584,1.9260403242422484,-9.0,67.29161364653719,-5.0262342292958575,-66.34842699730825,0.2565497349143582
0.008,0.2497911809643342,0.0001466380404186174,0.025852667206341516,-0.006831698587228498,0.0,0.2497911809643342,-0.8957461908936128,1.7926664666609011,0.05532729161351835,-0.16547535644835598,2.2520410061184837,-9.0,69.5607862683676,-7.5184810252036725,-77.02915364143568,0.25657018616682314
0.009000000000000001,0.24984232111621135,0.00013951853975741058,0.051136703473445747,-0.007120965904269274,21.803650926628652,0.24984232111621135,-0.8956111173934806,1.7923390874052978,0.13507350013214658,-0.32737925560336745,2.3476166925028497,-9.0,70.68606641796235,-8.743486594803827,-87.38194215826164,0.25661564201747156
0.010000000000000002,0.24991894787250318,0.00013257791068943536,0.07661914067480469,-0.006942774163939458,21.969423105365138,0.24991894787250318,-0.8953937452682819,1.7918484576971705,0.21737212519882898,-0.49062970812738627,2.288927938573632,-9.0,71.02580510696022,-9.096217073741878,-97.44390561395448,0.2566861920917492
0.011000000000000003,0.25002097604933515,0.0001261171019012186,0.10201475112039271,-0.006463474077288395,0.0,0.25002097604933515,-0.895093087014912,1.7911950261125362,0.30065825336992447,-0.653431584634264,2.1308655133237866,-9.0,70.84068642708786,-8.864461674265646,-107.2435957165998,0.25678166874927805
0.012000000000000004,0.2501481366866044,0.0001203185647412619,0.12713982265344162,-0.005801527347099121,23.55037858155578,0.2501481366866044,-0.8947092047045933,1.7903803878357012,0.38388231031870923,-0.8146382768349634,1.9125187682244655,-9.0,70.31850747433207,-8.255864362081304,-116.80307801580469,0.2569017418672214
0.013000000000000005,0.2503000493429326,0.00011528165543706059,0.1518829564658898,-0.005040024293310713,23.47564444616388,0.2503000493429326,-0.8942428379339201,1.7894068234871732,0.4663667706730976,-0.973564348528086,1.6613058694778102,-9.0,69.59294457912932,-7.418437311912891,-126.13953712532147,0.2570459860041913
0.014000000000000005,0.2504762728444261,0.00011104860190180865,0.17618350673208766,-0.004236106517089708,0.0,0.2504762728444261,-0.8936951382563436,1.7882769760260973,0.5476996775764726,-1.1298474610758085,1.39608284870821,-9.0,68.75772238996885,-6.4560883203694175,-135.2665031061548,0.2572139272174727
0.015000000000000006,0.25067634022907964,0.00010762339569914126,0.20001576760291134,-0.0034280328269738897,21.0381148925867,0.25067634022907964,-0.8930674823086201,1.786993628733592,0.6276559477234831,-1.2833472925052387,1.129475046872334,-9.0,67.87727151159328,-5.440329844885127,-144.194783902855,0.25740507499715065
0.016000000000000007,0.2508997821893749,0.0001049854025282626,0.22337746667971542,-0.0026404548751537693,20.88033710441557,0.2508997821893749,-0.8923613427234761,1.7855595566110871,0.7061395851439967,-1.4340721225047321,0.8696178496590138,-9.0,66.99471472898429,-4.419074651502535,-152.93317108847023,0.2576189434058389
0.017000000000000008,0.25114614222368337,0.00010309904984384666,0.24628147172557646,-0.0018883364545637105,0.0,0.25114614222368337,-0.8915782011501264,1.7839774305919043,0.7831415733497156,-1.5821260191828586,0.6214498956835873,-9.0,66.1378257931201,-3.4232136060719576,-161.48897135196802,0.2578550644702946
0.01800000000000001,0.25141498588074684,0.00010192061767505534,0.26874988330946514,-0.0011798483195403497,20.034592729123897,0.25141498588074684,-0.8907194916740434,1.7822497592987312,0.8587094760829962,-1.7276712931730849,0.38766825525666343,-9.0,65.32345359767385,-2.4715096379067587,-169.86840449695333,0.2581129960829112
