time,shoulder_pos,shoulder_vel,shoulder_torque,elbow_pos,elbow_vel,elbow_torque
5.917339086532592773e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.944982254317345838e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.920986175537109375e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.528377749312747724e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.924085378646850586e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.595957771473660358e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.926110267639160156e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.758066021912695565e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.927685022354125977e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.826904618584990647e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.929275274276733398e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.892992343684490653e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.931280374526977539e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.830501833121924715e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.933006286621093750e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.762608599480671945e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.934552669525146484e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.441763530772106172e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.936272382736206055e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.022205032165919736e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.938355684280395508e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-2.928039876265232433e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.940129756927490234e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.111492299945276319e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.941717624664306641e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.409108251152349833e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.943200588226318359e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.548286817574255014e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.944708824157714844e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.692905273153201495e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.946228265762329102e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.680151171031306401e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
5.947638750076293945e+00,4.695581859785433743e-01,-1.370422413757200175e+01,-3.648962330545256538e+00,-9.518430623971206872e-01,2.784350300967010128e+01,1.393700862363795068e+01
