time,shoulder_pos,shoulder_vel,shoulder_torque,elbow_pos,elbow_vel,elbow_torque
5.950704336166381836e+00,1.009864957656219531e+00,-1.285714285714284699e+00,-5.226373626373625569e+00,-2.143595025558866496e+00,2.538461538461540101e+00,1.029010989010988908e+01
5.952330589294433594e+00,1.006950484473946972e+00,-1.219780219780218999e+00,-5.015384615384615330e+00,-2.140680552376593937e+00,2.802197802197802901e+00,1.038681318681318544e+01
5.953957319259643555e+00,1.004036011291674413e+00,-1.043956043956043800e+00,-5.270329670329671146e+00,-2.134851606012048819e+00,3.307692307692306599e+00,1.083516483516483575e+01
5.955414772033691406e+00,1.004036011291674413e+00,-9.120879120879124002e-01,-5.428571428571428825e+00,-2.129022659647517912e+00,3.175824175824175200e+00,1.117802197802197739e+01
5.957072496414184570e+00,1.004036011291674413e+00,-9.120879120879124002e-01,-5.709890109890109144e+00,-2.126108186465245353e+00,2.868131868131868600e+00,1.101978021978021971e+01
5.958719253540039062e+00,1.001121538109401854e+00,-7.142857142857153008e-01,-5.859340659340659840e+00,-2.120279240100714446e+00,2.472527472527474401e+00,1.059780219780219923e+01
5.960344552993774414e+00,1.001121538109401854e+00,-7.802197802197810006e-01,-5.789010989010989761e+00,-2.117364766918441887e+00,2.362637362637364902e+00,1.045714285714285552e+01
5.961961984634399414e+00,9.982070649271435059e-01,-7.142857142857153008e-01,-5.806593406593407281e+00,-2.111535820553896770e+00,3.131868131868131400e+00,1.063296703296703427e+01
5.963412284851074219e+00,9.982070649271435059e-01,-9.780219780219781001e-01,-5.806593406593407281e+00,-2.108621347371638421e+00,3.505494505494503699e+00,1.105494505494505475e+01
5.965264320373535156e+00,9.952925917448709470e-01,-6.483516483516496010e-01,-6.035164835164835040e+00,-2.099877927824820745e+00,3.175824175824175200e+00,1.097582417582417591e+01
5.967191219329833984e+00,9.952925917448709470e-01,-1.087912087912087600e+00,-6.035164835164835040e+00,-2.094048981460289838e+00,3.065934065934065700e+00,1.040439560439560296e+01
5.969181060791015625e+00,9.923781185625983881e-01,-1.153846153846153300e+00,-6.105494505494505120e+00,-2.088220035095744720e+00,3.571428571428569398e+00,1.041318681318681172e+01
5.971031427383422852e+00,9.894636453803258291e-01,-1.615384615384613198e+00,-5.780219780219781001e+00,-2.082391088731213813e+00,4.076923076923080203e+00,1.097582417582417591e+01
5.972943544387817383e+00,9.865491721980674811e-01,-1.923076923076919797e+00,-5.745054945054944184e+00,-2.073647669184410347e+00,4.142857142857145902e+00,1.059780219780219923e+01
5.974789381027221680e+00,9.807202258335223632e-01,-2.120879120879124002e+00,-5.384615384615385025e+00,-2.064904249637592670e+00,4.142857142857145902e+00,1.026373626373626280e+01
5.976912260055541992e+00,9.778057526512498043e-01,-2.450549450549452501e+00,-5.402197802197802545e+00,-2.056160830090789204e+00,4.912087912087912400e+00,1.114285714285714235e+01
5.978954553604125977e+00,9.719768062867188974e-01,-2.318681318681321102e+00,-5.367032967032967505e+00,-2.047417410543985739e+00,4.472527472527474401e+00,1.058901098901099047e+01
5.980726480484008789e+00,9.690623331044463384e-01,-2.384615384615386802e+00,-5.630769230769230305e+00,-2.038673990997182273e+00,4.472527472527474401e+00,1.061538461538461675e+01
5.982478380203247070e+00,9.661478599221737795e-01,-2.186813186813189702e+00,-5.402197802197802545e+00,-2.029930571450364596e+00,4.472527472527474401e+00,1.121318681318681243e+01
5.984364748001098633e+00,9.603189135576428725e-01,-2.186813186813189702e+00,-5.217582417582416809e+00,-2.021187151903561130e+00,4.472527472527474401e+00,1.050989010989011163e+01
5.986200094223022461e+00,9.574044403753703136e-01,-2.384615384615386802e+00,-5.015384615384615330e+00,-2.012443732356757664e+00,4.648351648351649601e+00,1.042197802197802048e+01
5.987966299057006836e+00,9.515754940108394067e-01,-2.758241758241759101e+00,-5.068131868131867890e+00,-2.003700312809954198e+00,5.285714285714284699e+00,1.107252747252747227e+01
5.989727020263671875e+00,9.457465476462942888e-01,-2.956043956043956200e+00,-5.243956043956043089e+00,-1.994956893263136521e+00,5.351648351648350399e+00,1.034285714285714164e+01
5.991452932357788086e+00,9.428320744640217299e-01,-2.758241758241759101e+00,-5.428571428571428825e+00,-1.986213473716333056e+00,5.681318681318678898e+00,1.063296703296703427e+01
5.992958068847656250e+00,9.399176012817633818e-01,-2.318681318681321102e+00,-5.208791208791208049e+00,-1.977470054169529590e+00,5.813186813186810298e+00,1.095824175824175839e+01
5.994328260421752930e+00,9.370031280994908229e-01,-1.923076923076919797e+00,-5.314285714285714946e+00,-1.968726634622726124e+00,5.923076923076919797e+00,1.032527472527472412e+01
5.995702743530273438e+00,9.340886549172182640e-01,-2.318681318681321102e+00,-5.358241758241758745e+00,-1.959983215075908447e+00,5.923076923076919797e+00,1.084395604395604451e+01
5.997461557388305664e+00,9.282597085526873570e-01,-2.956043956043956200e+00,-5.586813186813186505e+00,-1.951239795529104981e+00,5.813186813186810298e+00,1.102857142857142847e+01
5.999063014984130859e+00,9.224307621881422392e-01,-3.329670329670328499e+00,-5.613186813186812785e+00,-1.939581902800028956e+00,5.615384615384613198e+00,1.056263736263736419e+01
6.000826120376586914e+00,9.166018158236113322e-01,-3.021978021978021900e+00,-5.428571428571428825e+00,-1.930838483253225490e+00,5.879120879120875998e+00,1.116043956043955987e+01
6.002557992935180664e+00,9.136873426413387733e-01,-2.626373626373627701e+00,-5.041758241758241610e+00,-1.919180590524149466e+00,6.186813186813189702e+00,1.030769230769230660e+01
6.004364490509033203e+00,9.078583962767936555e-01,-1.989010989010985497e+00,-4.953846153846154010e+00,-1.907522697795073441e+00,6.824175824175824800e+00,1.088791208791208831e+01
6.006217002868652344e+00,9.049439230945353074e-01,-2.692307692307693401e+00,-5.261538461538462386e+00,-1.895864805065997416e+00,6.824175824175824800e+00,1.032527472527472412e+01
6.007966279983520508e+00,8.991149767299901896e-01,-3.197802197802197099e+00,-5.894505494505494880e+00,-1.884206912336921391e+00,7.219780219780218999e+00,1.089670329670329707e+01
6.009716749191284180e+00,8.932860303654592826e-01,-3.593406593406591298e+00,-5.876923076923077360e+00,-1.869634546425572807e+00,7.285714285714284699e+00,1.039560439560439420e+01
6.011480569839477539e+00,8.845426108186416059e-01,-3.593406593406591298e+00,-5.481318681318681385e+00,-1.855062180514224224e+00,7.527472527472525599e+00,1.112527472527472483e+01
6.013350725173950195e+00,8.787136644541106989e-01,-3.263736263736262799e+00,-5.120879120879120450e+00,-1.843404287785148199e+00,7.593406593406591298e+00,1.017582417582417520e+01
6.015066623687744141e+00,8.728847180895655811e-01,-3.329670329670328499e+00,-5.279120879120879906e+00,-1.828831921873813826e+00,7.791208791208788398e+00,1.118681318681318615e+01
6.016816139221191406e+00,8.670557717250346741e-01,-3.593406593406591298e+00,-5.639560439560439065e+00,-1.814259555962465242e+00,8.230769230769233502e+00,1.031648351648351536e+01
6.018563270568847656e+00,8.612268253604895563e-01,-3.527472527472525599e+00,-5.463736263736263865e+00,-1.802601663233389218e+00,7.527472527472525599e+00,1.098461538461538467e+01
6.020192384719848633e+00,8.553978789959586493e-01,-3.835164835164832198e+00,-5.112087912087911690e+00,-1.788029297322040634e+00,8.098901098901102102e+00,1.047472527472527304e+01
6.021818399429321289e+00,8.495689326314135315e-01,-4.164835164835167802e+00,-5.138461538461537970e+00,-1.773456931410692050e+00,8.296703296703299202e+00,1.067692307692307807e+01
6.023451089859008789e+00,8.408255130846100656e-01,-4.362637362637364902e+00,-5.367032967032967505e+00,-1.761799038681616025e+00,8.560439560439562001e+00,1.071208791208791311e+01
6.024917364120483398e+00,8.349965667200791586e-01,-4.296703296703299202e+00,-5.094505494505494170e+00,-1.747226672770281652e+00,8.934065934065934300e+00,1.044835164835164676e+01
6.026410102844238281e+00,8.291676203555340408e-01,-4.032967032967036403e+00,-4.725274725274724474e+00,-1.732654306858933069e+00,9.197802197802197099e+00,1.073846153846153939e+01
6.027908563613891602e+00,8.233386739910031338e-01,-4.296703296703299202e+00,-5.103296703296702930e+00,-1.720996414129857044e+00,9.197802197802197099e+00,1.043076923076922924e+01
6.029411792755126953e+00,8.145952544441854570e-01,-4.428571428571430602e+00,-5.498901098901098905e+00,-1.706424048218508460e+00,9.703296703296700798e+00,1.101978021978021971e+01
6.030918359756469727e+00,8.087663080796545501e-01,-4.538461538461540101e+00,-5.076923076923076650e+00,-1.691851682307159876e+00,9.901098901098897898e+00,1.004395604395604380e+01
6.032418489456176758e+00,8.029373617151094322e-01,-4.670329670329671501e+00,-4.997802197802197810e+00,-1.674364843213552945e+00,9.967032967032963597e+00,1.099340659340659343e+01
6.033924102783203125e+00,7.941939421683059663e-01,-5.065934065934065700e+00,-5.384615384615385025e+00,-1.659792477302204361e+00,9.967032967032963597e+00,1.085274725274725327e+01
