time,shoulder_pos,shoulder_vel,shoulder_torque,elbow_pos,elbow_vel,elbow_torque
2.719909906387329102e+00,1.553507765436914489e-01,0.000000000000000000e+00,5.654755420670335653e+00,-3.146180817080924674e-01,0.000000000000000000e+00,9.072994091913926695e+00
2.723984003067016602e+00,1.553507765436914489e-01,0.000000000000000000e+00,6.224841682482635363e+00,-3.146180817080924674e-01,0.000000000000000000e+00,9.355207009517215511e+00
2.726598978042602539e+00,1.553507765436914489e-01,0.000000000000000000e+00,4.936859484280056165e+00,-3.146180817080924674e-01,0.000000000000000000e+00,8.718896589605947156e+00
2.728645563125610352e+00,1.553507765436914489e-01,0.000000000000000000e+00,1.723645247403494674e+00,-3.146180817080924674e-01,0.000000000000000000e+00,7.130635206191885622e+00
2.730786323547363281e+00,1.553507765436914489e-01,0.000000000000000000e+00,-7.937489994323304598e-01,-3.146180817080924674e-01,0.000000000000000000e+00,5.887122251687674890e+00
2.732578992843627930e+00,1.553507765436914489e-01,0.000000000000000000e+00,-9.820602440676434730e-01,-3.146180817080924674e-01,0.000000000000000000e+00,5.794343180925485726e+00
2.734274864196777344e+00,1.553507765436914489e-01,0.000000000000000000e+00,2.693524360264193396e-01,-3.146180817080924674e-01,0.000000000000000000e+00,6.413127476495342094e+00
2.736157894134521484e+00,1.553507765436914489e-01,0.000000000000000000e+00,3.307729107001925239e+00,-3.146180817080924674e-01,0.000000000000000000e+00,7.914268971911156747e+00
2.737589120864868164e+00,1.553507765436914489e-01,0.000000000000000000e+00,4.478078213200414659e+00,-3.146180817080924674e-01,0.000000000000000000e+00,8.492697825716490456e+00
2.739437341690063477e+00,1.553507765436914489e-01,0.000000000000000000e+00,5.233072583598818994e+00,-3.146180817080924674e-01,0.000000000000000000e+00,8.865537782291641022e+00
2.741196632385253906e+00,1.553507765436914489e-01,0.000000000000000000e+00,4.447697268053974362e+00,-3.146180817080924674e-01,0.000000000000000000e+00,8.477442835244225705e+00
