time,shoulder_pos,elbow_pos,shoulder_vel,elbow_vel,shoulder_torque,elbow_torque
0.0014285714285714286,-0.8964198657500071,1.783805794860055,-3.82780511974532e-08,-5.725540935109707e-07,1.275737367589555,4.722162462507789
0.002857142857142857,-0.8972408415099087,1.7915024078758204,-0.5746830319311426,5.387629111035757,-0.17276516975831888,-12.0
0.004285714285714286,-0.8975892532870292,1.791522378884535,-0.24388824398438447,0.013979706100228029,0.02255635516105237,-12.0
0.005714285714285714,-0.8975786801055714,1.7911083138747825,0.007401227020497725,-0.28984550682670474,0.01471822282549516,-12.0
0.007142857142857143,-0.8972522583984869,1.790264468493122,0.22849519495919068,-0.5906917671624932,0.009083692138996853,-12.0
0.008571428571428572,-0.8966414498656381,1.788993654238625,0.4275659729941421,-0.8895699781477635,0.005064621152098095,-12.0
0.01,-0.8957689195122812,1.7872975325958451,0.6107712473498339,-1.187285149945966,0.0022198649754530684,-12.0
0.011428571428571429,-0.894650724335926,1.7851768291151866,0.7827366234486923,-1.4844924364609984,0.0002199387344409569,-12.0
0.012857142857142857,-0.893297973048425,1.7826314898967797,0.9469259012507121,-1.781737452884892,-0.0011800480693856935,-12.0
0.014285714285714285,-0.8917180805729665,1.7796607961711866,1.1059247328209216,-2.07948560791516,-0.0021610822779182374,-12.0
0.015714285714285715,-0.8899157124678796,1.7762634476939043,1.261657673560895,-2.3781439340975385,-0.0028560338070482243,-12.0
0.017142857142857144,-0.8878934924700241,1.77243762249521,1.4155539984988095,-2.678077639086,-0.003361675107246128,-12.0
0.018571428571428572,-0.8856525294343817,1.7681810184243207,1.5686741249497276,-2.979622849622533,-0.0037478108613899336,-12.0
0.02,-0.8831928068934167,1.7634908804815042,1.7218057786754195,-3.2830965599715505,-0.004064194594613386,-12.0
0.02142857142857143,-0.8805134683804583,1.758364016902159,1.8755369590709086,-3.5888045055415265,-0.0043457533802010555,-12.0
0.022857142857142857,-0.8776130238783392,1.7527968062006276,2.0303111514834162,-3.897047491071934,-0.0046165215601248555,-12.0
0.024285714285714285,-0.8744894967479084,1.7467851968120005,2.186468991301552,-4.208126572038937,-0.004892591471381339,-12.0
0.025714285714285714,-0.8711405258597816,1.7403247005324662,2.3442796216887354,-4.522347395673988,-0.005184317423034708,-12.0
0.027142857142857142,-0.8675634340861915,1.7334103806168852,2.503964241513094,-4.8400239409066454,-0.00549795385044715,-12.0
0.02857142857142857,-0.8637552715670556,1.726036835121166,2.66571376339517,-5.161481847003497,-0.005836865961287807,-12.0
0.03,-0.859712840058067,1.7181981758585194,2.829702056291958,-5.487061483852488,-0.006202418406957448,-12.0
0.03142857142857143,-0.8554327030531547,1.7098880031592791,2.996095903438677,-5.817120889468157,-0.006594622330491762,-12.0
0.03285714285714286,-0.8509070430015846,1.701091281938927,3.1679620360990732,-6.157704854246559,-0.007018509261755671,-12.0
0.034285714285714294,-0.8461342970722089,1.6918051011924298,3.340922150563004,-6.500326522548052,-0.0074634341083793165,-12.0
0.035714285714285726,-0.8411118555531379,1.6820244121408314,3.515709063349621,-6.8464823361188305,-0.007928733775276845,-12.0
0.03714285714285716,-0.8358351895192541,1.6717403158819626,3.6936662237186972,-7.198867381208107,-0.008414774553189858,-12.0
0.03857142857142859,-0.8302994522049386,1.6609431923951292,3.8750161200208115,-7.557986440783347,-0.008919593053798709,-12.0
0.04000000000000002,-0.8244994555762803,1.6496226578797875,4.0599976400607485,-7.924374160739228,-0.009441227613052942,-12.0
0.041428571428571453,-0.8184296363468588,1.6377675025615688,4.2488734605950835,-8.29860872275314,-0.009977766881730755,-12.0
0.042857142857142885,-0.8120840179708335,1.6253656210156784,4.441932863217685,-8.681317082123345,-0.010527369417913218,-12.0
0.04428571428571432,-0.8054561683832203,1.6124039340572123,4.639494711329262,-9.073180870926215,-0.01108826928721548,-12.0
0.04571428571428575,-0.7985391530561347,1.5988683010096398,4.84191072895999,-9.474943133300716,-0.011658771935807655,-12.0
0.04714285714285718,-0.7913254827720977,1.5847434209431248,5.049569198825883,-9.887416046560546,-0.012237243332358632,-12.0
0.04857142857142861,-0.7838070553442735,1.5700127212128505,5.262899199476898,-10.31148981119199,-0.01282209445194961,-12.0
0.050000000000000044,-0.7759750903288345,1.55465823131306,5.48237551080729,-10.748142929853433,-0.01341176247453105,-12.0
0.051428571428571476,-0.7678957375319375,1.5388090411734656,5.655546957827916,-11.094433097716042,-0.01390158547551129,-12.0
0.05285714285714291,-0.7594682780000708,1.5222675318265444,5.899221672306752,-11.579056542844874,-0.014545439137817879,-12.0
0.05428571428571434,-0.7507012087721319,1.5050495844912173,6.136948459557202,-12.052563134728903,-0.015169047167838295,-12.0
0.05571428571428577,-0.7415826980508992,1.4871310636567072,6.382957504862858,-12.542964584157051,-0.015795063103905556,-12.0
0.057142857142857204,-0.7320996325045899,1.4684852565180224,6.638145882416474,-13.052064997079293,-0.01642250114116158,-12.0
0.058571428571428635,-0.7222376441286524,1.4490829213242846,6.903391863156223,-13.581634635616524,-0.01705008406872486,-12.0
0.06000000000000007,-0.7119809553350542,1.4288919770418578,7.1796821555187735,-14.133660997698728,-0.017676415517213273,-12.0
0.0614285714285715,-0.7013121970549688,1.4078771385496662,7.468130796059758,-14.710386944534093,-0.01829995449159757,-12.0
0.06285714285714293,-0.6902121959694635,1.3859994894762504,7.770000759853749,-15.314354351391115,-0.01891898298409041,-12.0
0.06428571428571436,-0.6786597242746328,1.363215979397718,8.086730186381468,-15.948457054972682,-0.0195315670365645,-12.0
