t[s],Z,vz,vzd
0.0,0.162,0.0,-25.16359048183852
0.005,0.16137091023795405,-0.1258179524091926,-25.720833400735366
0.01,0.16009879964088972,-0.2544221194128694,0.9756033414192018
0.015,0.15885107912736085,-0.2495441027057734,4.304686794328347
0.02,0.1577109757836902,-0.22802066873413165,4.400267439979295
0.025,0.15668087912601902,-0.20601933153423518,4.489711268402054
0.03,0.1557630252500579,-0.18357077519222492,4.572629851727378
0.035,0.15495948712038995,-0.16070762593358803,4.648658295023914
0.04,0.1542721654480976,-0.13746433445846845,4.7175603034997025
0.045,0.15370278278339275,-0.11387653294096994,4.781244843748787
0.05,0.15325293123978162,-0.089970308722226,4.837306378562886
0.055,0.15292401235563458,-0.06578377682941157,4.885806675101257
0.06,0.15271723863836506,-0.04135474345390529,4.926826297382455
0.065,0.1526336355785301,-0.016720611966993013,4.9604686654356485
0.07,0.15267404423533104,0.00808173136018523,4.9868630578637365
0.075,0.15283912446857856,0.033016046649503916,5.006166496384303
0.08,0.15312935886423568,0.058046879131425436,5.018564484148385
0.085,0.1535450573719965,0.08313970155216736,5.024270602884812
0.09,0.15408636264482947,0.10826105456659142,5.023525007416197
0.095,0.15475325604284784,0.13337867960367242,5.01659188776064
0.1,0.1555455642380602,0.15846163904247562,5.003755996926394
0.105,0.15646296633319576,0.1834804190271076,4.985318364923785
0.11,0.15750500138745438,0.20840701085172653,4.961591335193177
0.115,0.15867107622509286,0.2332149675276924,4.93289306776969
0.12,0.15996047338942557,0.25787943286654086,4.899541653801798
0.125,0.1613723590951033,0.28237714113554985,4.861848978712658
0.13,0.16290579102524888,0.30668638602911313,4.82011445697087
0.135,0.1645597258168187,0.3307869583139675,4.774618741059328
0.14,0.16633302607691502,0.3546600520192641,4.725617481924957
0.145,0.16822446677405947,0.3782881394288889,4.673335189124515
0.15,0.17023274085093204,0.4016548153745115,4.617959207155465
0.155,0.17235646390798348,0.4247446114102888,4.559633790946222
0.16,0.17459417780980857,0.44754278036501993,4.498454259506744
0.165,0.17694435306812134,0.47003505166255366,4.435699758940345
0.17,0.1794054208204076,0.4922135504572554,4.37260655101074
0.175,0.18197580373646915,0.5140765832123091,4.307822887361766
0.18,0.18465388222471474,0.5356156976491179,4.2417144092481465
0.185,0.18743800357319154,0.5568242696953586,4.174625575786067
0.19,0.190326490561063,0.577697397574289,4.1068786647717985
0.195,0.19331764951555372,0.5982317908981479,4.038773111966414
0.2,0.19640977779784363,0.61842565645798,3.970585170903476
0.205,0.1996011707094061,0.6382785823124973,3.9025678474908716
0.21,0.20289012781715587,0.6577914215499517,3.8349510637704114
0.215,0.2062749587014999,0.6769661768688038,3.7679420064304274
0.22,0.20975398813600468,0.6958058869009559,3.7017256177369937
0.225,0.21332556071095288,0.7143145149896408,3.636465189193487
0.23,0.21698804491563092,0.7324968409356083,3.5723030212091196
0.235,0.2207398366958392,0.7503583560416539,3.5093611151547393
0.24,0.22457936250392632,0.7679051616174276,3.447741867235006
0.245,0.22850508185869434,0.7851438709536026,3.3875287364704967
0.25,0.2325154894318741,0.8020815146359551,3.3287868616586422
0.255,0.23660911667659534,0.8187254489442484,3.271563604378109
0.26,0.24078453301142605,0.8350832669661389,3.215888996859565
0.265,0.24504034657117824,0.8511627119504367,3.1617760748137407
0.27,0.24937520453280076,0.8669715923245054,3.109221076050588
0.275,0.25378779302132454,0.8825176977047583,3.0582034859045777
0.28,0.25827683659699596,0.8978087151342812,3.008685910072714
0.285,0.26284109732041916,0.9128521446846447,2.9606137544369027
0.29,0.2674793733877033,0.9276552134568292,2.91391468974032
0.295,0.27219049732223094,0.9422247869055308,2.8684978765674707
0.3,0.2769733337036728,0.9565672762883681,2.8242529228767204
0.305,0.28182677640818654,0.9706885409027517,2.7810485422643865
0.31,0.2867497453262569,0.9845937836140737,2.7387308761072617
0.315,0.29174118251622994,0.99828743799461,2.6971214365990406
0.32,0.296800047742118,1.0117730451776052,2.6560146203178014
0.325,0.30192531333351397,1.0250531182791942,2.6151747331474837
0.33,0.3071159582932386,1.0381289919449317,2.5743324569051893
0.335,0.31237096156438593,1.0510006542294577,2.5331806756454895
0.34,0.3176892943524244,1.0636665576076851,2.4913695650337075
0.345,0.3230699113795886,1.0761234054328537,2.4485008310853296
0.35,0.32851174092753005,1.0883659095882803,2.404120964638345
0.355,0.33401367349958744,1.100386514411472,2.3577133548491958
0.36,0.339574548905516,1.1121750811857178,2.308689078564708
0.365,0.34519314153840874,1.1237185265785414,2.256376152563913
0.37,0.35086814357511553,1.135000407341361,2.200007002695042
0.375,0.3565981457868897,1.1460004423548362,2.138703868754117
0.38,0.36238161559538273,1.1566939616986067,2.071461828538295
0.385,0.36821687194958924,1.1670512708412981,1.9971290925733172
0.39,0.37410205653111006,1.1770369163041647,1.9143841990962756
0.395,0.38003510071760827,1.1866088372996462,1.8217097380002034
0.4,0.3860136876475565,1.1957173859896473,1.7173622705391
0.405,0.3920352086342682,1.2043041973423427,1.599338217043325
0.41,0.39809671307640604,1.2123008884275595,1.4653357012900834
0.415,0.4041948509110761,1.21962756693401,1.31271273230049
0.42,0.41032580656405365,1.2261911305955124,1.138442764226534
0.425,0.41648522328613685,1.231883344416645,0.939069725166414
0.43,0.42266811675134924,1.2365786930424771,0.7106661918673165
0.435,0.4288687768713583,1.2401320240018137,0.44880064467348646
0.44,0.4350806570074842,1.2423760272251811,0.1485227012395196
0.445,0.4412962502111411,1.2431186407313788,-0.19562135912440315
0.45,0.4475069528808199,1.2421405339357567,-0.589527513663791
0.455,0.45370291736265705,1.2391928963674377,-1.0394117009414972
0.46,0.4598728965519707,1.2339958378627303,-1.5516167559677685
0.465,0.4660040853223852,1.2262377540828915,-2.1323574940023793
0.47,0.4720819651554496,1.2155759666128796,-2.7874499909359773
0.475,0.4780901587387406,1.2016387166581997,-3.5221284952231273
0.48,0.48401029910965104,1.1840280741820841,-4.341118871379268
0.485,0.48982191150877696,1.1623224798251877,-5.2491770862944325
0.49,0.49550229448074556,1.1360765943937154,-6.252267486053037
0.495,0.5010263707655628,1.1048152569634502,-20.17165764499515
0.5,0.5060461556092551,1.0039569687384744,-14.815032791760315
0.505,0.5106955646331535,0.9298818047796729,-3.8657392697124497
0.51,0.515248330175309,0.9105531084311106,-15.24991381766844
0.515,0.5194198478720229,0.8343035393427684,-25.997222858101452
0.52,0.5229414349972842,0.704317425052261,-30.92595737243586
0.525,0.5256898731882346,0.5496876381900817,-4.88616788604195
0.53,0.528316157182034,0.525256798759872,6.042548034987121
0.535,0.531093504876708,0.5554695389348075,13.020514581865411
0.54,0.5341963654359287,0.6205721118441346,16.45042880559615
0.545,0.5377104867152893,0.7028242558721154,7.607651439768303
0.55,0.5414147992806441,0.740862513070957,-13.046090914751197
0.555,0.5447929595731301,0.675632058497201,-10.07134859884692
0.56,0.5479193361506449,0.6252753155029664,-27.01906564187469
0.565,0.5503702360871129,0.490179987293593,-24.708081382584623
0.57,0.5522034339890163,0.3666395803806699,10.248610667342978
