time,x,y,xd,yd,zdd,h,q1,q2,q1d,q2d,tau1,tau2,Fx,Fy,Fz,basepos,basepos_desired
0.0014285714285714286,0.2511703176953811,-0.0011345360839407348,8.875098253996313e-08,-8.192115841243114e-08,0.0,0.2511703176953811,-0.8964198657500071,1.783805794860055,-3.82780511974532e-08,-5.725540935109707e-07,1.275737367589555,4.722162462507789,22.619959898402595,-103.50649141289705,-201.1284783811731,0.25643399727041316,0.6
0.002857142857142857,0.24997274018032628,-0.00037236906117954494,-0.8404114830684527,0.5309781986730198,0.0,0.24997274018032628,-0.8972408415099087,1.7915024078758204,-0.5746830319311426,5.387629111035757,-0.1727651697583201,-12.0,0.0,0.0,0.0,0.2564099909166173,0.6
0.004285714285714286,0.24996948165018487,-0.0004569606807250104,-0.002290998955764907,-0.05921337778265055,0.0,0.24996948165018487,-0.8975892532870292,1.791522378884535,-0.24388824398438447,0.013979706100228029,0.022556355161051138,-12.0,59.716738637555416,-9.106887079184055,-126.44951532627607,0.2564494572824254,0.6
0.005714285714285714,0.25003403242983224,-0.000506200383074723,0.04517840034232365,-0.03447666756730118,0.0,0.25003403242983224,-0.8975786801055714,1.7911083138747825,0.007401227020497503,-0.28984550682670474,0.014718222825493949,-12.0,82.78447412165222,1.0985899245987336,-110.97597015353011,0.2565483892944265,0.6
0.007142857142857143,0.25016569403879435,-0.000530358107911022,0.09214672523004008,-0.016919177656944017,0.0,0.25016569403879435,-0.8972522583984869,1.790264468493122,0.22849519495919024,-0.5906917671624932,0.009083692138995658,-12.0,82.92301112207133,1.0156440240092726,-100.55219880083816,0.25670706367130275,0.6
0.008571428571428572,0.25036395113211407,-0.0005369370476554225,0.1387445354855799,-0.004608595871453534,0.0,0.25036395113211407,-0.8966414498656381,1.788993654238625,0.42756597299414323,-0.8895699781477653,0.005064621152096843,-12.0,83.03415385992056,0.9563216924369192,-90.32267713747424,0.2569257888262911,0.6
0.01,0.25062843263700735,-0.0005313714732456398,0.185073943932246,0.0039005659029114903,0.0,0.25062843263700735,-0.8957689195122812,1.7872975325958451,0.610771247349835,-1.1872851499459678,0.0022198649754518202,-12.0,83.12742406542681,0.9174431092147634,-80.29162008272503,0.25720488510899553,0.6
0.011428571428571429,0.25095888092038976,-0.0005175556878241894,0.23121481819433087,0.009684632743004143,8.228214227505108,0.25095888092038976,-0.894650724335926,1.7851768291151866,0.7827366234486939,-1.4844924364610002,0.00021993873443967185,-12.0,83.2102772758478,0.8962200440986099,-70.4618223564351,0.25754467233775,0.6
0.012857142857142857,0.25135512771462865,-0.0004982438498153108,0.27722982064224166,0.013540780236846739,0.0,0.25135512771462865,-0.893297973048425,1.7826314898967797,0.9469259012507127,-1.781737452884892,-0.0011800480693869833,-12.0,83.28849915209042,0.8902817533990679,-60.83463632442727,0.25794546240721467,0.6
0.014285714285714285,0.2518170754944011,-0.0004753512480459854,0.32316838554600924,0.01605575913640693,0.0,0.2518170754944011,-0.8917180805729665,1.7796607961711866,1.1059247328209216,-2.079485607915162,-0.002161082277919394,-12.0,83.36655206980691,0.8976556115940476,-51.41010077142081,0.2584075553936709,0.6
0.015714285714285715,0.25234468319228565,-0.00045018052095049943,0.36906983800696125,0.017658258319133757,0.0,0.25234468319228565,-0.8899157124678796,1.7762634476939043,1.261657673560895,-2.3781439340975385,-0.002856033807049454,-12.0,83.44785636665002,0.9167359862607805,-42.1871202125277,0.25893123803195217,0.6
0.017142857142857144,0.25293795533208613,-0.000423590840226723,0.4149658260035426,0.018658711068894385,10.142375223161658,0.25293795533208613,-0.8878934924700241,1.77243762249521,1.415553998498809,-2.6780776390859984,-0.0033616751072473856,-12.0,83.53501789054859,0.9462461571567216,-33.16365188097548,0.2595167837630153,0.6
0.018571428571428572,0.2535969338322434,-0.0003961238611078499,0.4608822070955685,0.01927947983240727,0.0,0.2535969338322434,-0.8856525294343817,1.7681810184243207,1.5686741249497265,-2.9796228496225297,-0.0037478108613912,-12.0,83.63001129112916,0.9851975942406347,-24.3368797352434,0.26016445378573905,0.6
0.02,0.2543216918812763,-0.00036809699291673326,0.5068405052144492,0.01967768105410997,0.0,0.2543216918812763,-0.8831928068934167,1.7634908804815042,1.7218057786754177,-3.2830965599715505,-0.004064194594614461,-12.0,83.73432678060927,1.0328498214234094,-15.703367088261794,0.2608744987159201,0.6
0.02142857142857143,0.2551123294123049,-0.0003396720448248791,0.5528590306890255,0.019962390533448032,0.0,0.2551123294123049,-0.8805134683804583,1.758364016902159,1.8755369590709072,-3.5888045055415247,-0.004345753380202259,-12.0,83.84908687037259,1.0886730065028216,-7.259185850769719,0.2616471605776259,0.6
0.022857142857142857,0.2559689698060724,-0.0003109053821495067,0.5989537379682165,0.020207566916073394,0.0,0.2559689698060724,-0.8776130238783392,1.7527968062006276,2.0303111514834162,-3.897047491071934,-0.004616521560126086,-12.0,83.97513856812316,1.1523145975257527,0.9999765194636588,0.2624826749399873,0.6
0.024285714285714285,0.25689175753428534,-0.00028178425590219547,0.6451388800728413,0.02046171987978318,0.0,0.25689175753428534,-0.8744894967479084,1.7467851968120005,2.186468991301552,-4.208126572038937,-0.00489259147138257,-12.0,84.11312561733877,1.2235705558477459,9.078729764348935,0.26338127307548886,0.6
0.025714285714285714,0.2578808565206393,-0.00025225284034602335,0.6914275062600659,0.0207551096039732,0.0,0.2578808565206393,-0.8711405258597816,1.7403247005324662,2.3442796216887354,-4.522347395673986,-0.0051843174230360115,-12.0,84.26354463615776,1.3023613336189523,16.981910369105037,0.26434318406060575,0.6
