t[s],q_urdf_hip,q_urdf_knee,qd_urdf_hip,qd_urdf_knee,qdd_urdf_hip,qdd_urdf_knee,Tau_urdf_hip,Tau_urdf_knee
0.3,0.8693867672835622,-1.8824711671492647,-2.5618874642043257,3.0670500956760636,-6.045940242140432,3.6773298319743617,-9.600000000000001,-0.12036618626885992
0.305,0.8564261814564871,-1.867043983425085,-2.592117165415028,3.085436744835935,-5.9651179355630575,3.2511498708249746,-9.600000000000001,-0.12070747334539617
0.31,0.8433164676810229,-1.8515355209541347,-2.621942755092843,3.10169249419006,-5.889468853550397,2.792005426405126,-9.600000000000001,-0.12108678544377989
0.315,0.8300595171842199,-1.8359572583475243,-2.651390099360595,3.1156525213220854,-5.817927063556226,2.294294516551304,-9.600000000000001,-0.12150762148234956
0.32,0.816657118510828,-1.820321638378,-2.680479734678376,3.127123993904842,-5.749322402697089,1.7516617910283685,-9.600000000000001,-0.12197374947615545
0.325,0.8031109867773687,-1.8046422268637001,-2.7092263466918616,3.135882302859984,-5.682369588774009,1.1568885560055833,-9.600000000000001,-0.12248924834128298
0.33,0.7894227958041901,-1.7889338931355,-2.7376381946357315,3.141666745640012,-5.615656420151936,0.5017650768392059,-9.600000000000001,-0.12305855756128836
0.335,0.7755942134205076,-1.7732130152803791,-2.765716476736491,3.1441755710242076,-5.5476314185575575,-0.22305756160756118,-9.600000000000001,-0.12368653640435738
0.34,0.7616269402513612,-1.7574977138642982,-2.793454633829279,3.14306028321617,-5.4765914596457606,-1.028239130137763,-9.600000000000001,-0.1243785348051142
0.345,0.7475227522957237,-1.7418081184264709,-2.820837591127508,3.137919087565481,-5.40067020810352,-1.9259489419737292,-9.600000000000001,-0.1251404785503486
0.35,0.7332835475848836,-1.7261666717121928,-2.8478409421680255,3.1282893428556124,-5.317828558100928,-2.9300953941541366,-9.600000000000001,-0.12597897205175126
0.355,0.7189113971600909,-1.7105984773827687,-2.8744300849585303,3.113638865884842,-5.225848818455233,-4.056590513518358,-9.600000000000001,-0.1269014227700523
0.36,0.7044086005148369,-1.6951316978161826,-2.9005593290508065,3.09335591331725,-5.122335132575472,-5.323653827845192,-9.600000000000001,-0.1279161922872485
0.365,0.6897777454912685,-1.6797980095952925,-2.9261710047136837,3.066737644178024,-5.004723664796529,-6.7521597998079415,-9.600000000000001,-0.12903278011136152
0.37,0.6750217723760802,-1.6646331253693976,-2.9511946230376664,3.0329768451789842,-4.8703075233338495,-8.366032531783503,-9.600000000000001,-0.13026204751929688
0.375,0.6601440415728085,-1.6496773919567973,-2.9755461606543356,2.9911466825200668,-4.716283369284156,-10.192690180071281,-9.600000000000001,-0.13161649003427278
0.38,0.6451484036853047,-1.6349764757986986,-2.999127577500756,2.9401832316197103,-4.539829372479517,-12.263539046741016,-9.600000000000001,-0.13311056834651186
0.385,0.6300392700634889,-1.6205821481167686,-3.021826724363154,2.878865536386005,-4.338227872580092,-14.614512943475347,-9.600000000000001,-0.13476110833102928
0.39,0.6148216807448587,-1.6065531832584254,-3.0435178637260543,2.8057929716686285,-4.109051118581647,-17.28664607605424,-9.600000000000001,-0.13658778076673023
0.395,0.5995013651482638,-1.5929563845519836,-3.0640631193189627,2.7193597412883572,-3.8504352147785994,-20.326655767106104,-9.600000000000001,-0.13861366949178916
0.4,0.5840847886712995,-1.5798677522397195,-3.0833152953928558,2.6177264624528265,-3.5614764181721057,-23.787492422965897,-9.600000000000001,-0.14086593148386498
0.405,0.5685791752838809,-1.5673738072380297,-3.1011226774837164,2.498789000337997,-3.242795822905123,-27.72878474042568,-9.600000000000001,-0.14337654116990617
0.41,0.5529924920008897,-1.5555730818548503,-3.117336656598242,2.3601450766358685,-2.8973338807350046,-32.21706321158695,-9.600000000000001,-0.14618309007133695
0.415,0.5373333753708801,-1.5445777830519607,-3.131823326001917,2.1990597605779336,-2.531455697241995,-37.325577561388855,-9.600000000000001,-0.1493295753761608
0.42,0.5216109723484395,-1.5345156236881057,-3.144480604488127,2.012431872770989,-2.1564717793306727,-43.13342476967341,-9.600000000000001,-0.15286704786484903
0.425,0.5058346575315156,-1.5255317999434925,-3.1552629633847804,1.7967647489226222,-1.7907061034318303,-49.72356312380657,-9.600000000000001,-0.1568538877432285
0.43,0.4900135750620059,-1.5177910652769746,-3.1642164939019395,1.5481469333035893,-1.4622712423023358,-57.17909448508294,-9.600000000000001,-0.1613553197459375
0.435,0.4741559358114386,-1.5114798079725837,-3.171527850113451,1.2622514608781745,-1.2127322890146388,-65.57694914368972,-9.600000000000001,-0.1664415488599676
0.44,0.458267978253646,-1.506807974396785,-3.177591511558524,0.9343667151597259,-1.1018444113570922,-74.97782476922725,-9.600000000000001,-0.17218358522021315
0.445,0.4423524745855695,-1.5040105864402171,-3.1831007336153094,0.5594775913135897,-1.2135098433436724,-85.41098315011641,-9.600000000000001,-0.17864544871196433
0.45,0.42640663317140937,-1.503348473062402,-3.1891682828320276,0.13242267556300757,-1.6629819585014047,-96.8524653157524,-9.600000000000001,-0.18587108524728263
0.455,0.41041921720828667,-1.505107671317481,-3.1974831926245346,-0.35183965101575443,-2.605095881700663,-109.19578442124225,-9.600000000000001,-0.19386420478261243
0.46,0.39436667384812146,-1.5095967641830907,-3.210508672033038,-0.8978185731219657,-4.242874047932787,-122.21575908528553,-9.600000000000001,-0.20255979738807167
0.465,0.37820805863675794,-1.5171412510258326,-3.231723042272702,-1.5088973685483933,-6.83522622141561,-135.52959822421963,-9.600000000000001,-0.21178798423151576
0.47,0.361878562769859,-1.52807397782418,-3.26589917337978,-2.1865453596694913,-10.701747826050905,-148.56520710114853,-9.600000000000001,-0.22123490516486288
