t[s],q_urdf_hip,q_urdf_knee,qd_urdf_hip,qd_urdf_knee,qdd_urdf_hip,qdd_urdf_knee,Tau_urdf_hip,Tau_urdf_knee
0.085,1.2069222680357161,-2.326836415631103,-0.05582302988189778,0.3635119579474184,-13.159129193706804,14.288282480317548,-9.2963084148317,-0.11044039775303581
0.09,1.2063141746688604,-2.3246616488214515,-0.1216186733711481,0.43495336193029344,-14.690926379906841,15.054578636636506,-9.600000000000001,-0.11357530381106919
0.095,1.2053388081492635,-2.322110517618317,-0.19507330391934824,0.5102262406268875,-14.801525745403751,22.153789427549555,-9.600000000000001,-0.10796816772345391
0.1,1.2039934034923874,-2.3190055415869995,-0.26908093137524697,0.6209952062635108,-14.78825584001288,17.811818484352898,-9.600000000000001,-0.11153358541297806
0.105,1.202278292447751,-2.3154552701075315,-0.34302220892724555,0.710054295893562,-14.731089847872227,18.809267838657888,-9.58837110599715,-0.11066748820122355
0.11,1.2001949041897393,-2.3114347669312565,-0.4166776516023605,0.8041006352550317,-14.758291179259459,19.165466345172717,-9.600000000000001,-0.11058556809816918
0.115,1.1977425586617527,-2.3069351270853447,-0.4904691055973329,0.8999279691823568,-14.703969844144467,19.294852458832338,-9.600000000000001,-0.11053758510770227
0.12,1.1949226138977471,-2.3019531159162883,-0.5639889528011314,0.9964022338113102,-14.627492685024663,19.357102383902998,-9.600000000000001,-0.11053630122225759
0.125,1.1917369818271315,-2.2964871771740345,-0.6371264141231266,1.0931877484507482,-14.530561395553832,19.34878794515282,-9.600000000000001,-0.11058534581383643
0.13,1.1881880857324307,-2.2905375187180135,-0.7097792189401444,1.1899316912041622,-14.415058050078642,19.28230176527302,-9.600000000000001,-0.11067560379874951
0.135,1.1842788131974216,-2.2841058027013332,-0.7818545070018272,1.2863432033360505,-14.282706081624838,19.149812150735443,-9.600000000000001,-0.11081414032506264
0.14,1.180012473021308,-2.2771953413633046,-0.8532680352227281,1.3820922676057426,-14.13525686895673,18.954486141264624,-9.600000000000001,-0.11099916639649152
0.145,1.1753927514342541,-2.2698110178533706,-0.9239443174107633,1.4768647019867636,-13.974359526891249,18.695603918331756,-9.600000000000001,-0.11123196514517233
0.15,1.17042367086952,-2.2619593042265644,-0.9938161129468516,1.5703427253612274,-13.801573572914549,18.37447394749904,-9.600000000000001,-0.11151214624357338
0.155,1.1651095509755298,-2.253648228731756,-1.0628239787980294,1.662215098961689,-13.619115934751562,18.056062906924183,-9.600000000000001,-0.11178824139101252
0.16,1.1594549531926637,-2.244885751642624,-1.1309195565732135,1.7524954178263439,-13.442212761084647,18.823621150868064,-9.600000000000001,-0.11119286624597918
0.165,1.1534643000992661,-2.2356526839774142,-1.1981306186795109,1.846613533041974,-13.202940588600995,13.99028945269123,-9.600000000000001,-0.11508479817511372
0.17,1.1471435734997688,-2.2260698591272443,-1.2641453198994748,1.9165649700339769,-12.966997908060648,13.703316265389958,-9.600000000000001,-0.11533353166783188
0.175,1.1404986719610384,-2.2161444514158135,-1.3289803077461033,1.9850815422862034,-12.723922460080757,13.476655165374211,-9.600000000000001,-0.11552549158067113
0.18,1.1335356723690257,-2.205882127358737,-1.392599918402534,2.052464811415376,-12.475712134469177,13.24239594381254,-9.600000000000001,-0.11571598887851361
0.185,1.126260779981569,-2.195288743428506,-1.4549784774913586,2.1186767860461786,-12.224526150626843,13.007871079526353,-9.600000000000001,-0.11590025646796569
0.19,1.1186802744479831,-2.18437016274635,-1.516101106717143,2.1837161364312077,-11.972328083337288,12.769049524594948,-9.600000000000001,-0.11608268983990218
0.195,1.1108004607196744,-2.1731323558508704,-1.5759627456617589,2.2475613790959597,-11.720970660008561,12.527618307993691,-9.600000000000001,-0.11626317564867858
0.2,1.1026276227319565,-2.161581358522125,-1.6345675975435925,2.3101994657491365,-11.472175046911161,12.285383887933278,-9.600000000000001,-0.1164415634490925
0.205,1.0941679803748972,-2.1497232266201545,-1.691928471411885,2.3716263803940345,-11.22752859282582,12.044154248948587,-9.600000000000001,-0.11661775863869654
0.21,1.0854276498096,-2.137563990885351,-1.7480661130594306,2.4318471469606355,-10.988643034613915,11.81833566361604,-9.600000000000001,-0.1167816621684098
0.215,1.0764126031747818,-2.125109296781422,-1.8030093269636311,2.490938820785906,-10.7554465610433,11.486757294509175,-9.600000000000001,-0.1170314936414102
0.22,1.067128670382082,-2.1123674337687577,-1.8567865585399885,2.5483726025328366,-10.530295710050723,11.239093571571118,-9.600000000000001,-0.11721707025857786
0.225,1.0575814802025891,-2.0993445934398407,-1.9094380358985619,2.604568065783361,-10.313275815597308,10.942511077638358,-9.600000000000001,-0.11744585471969335
0.23,1.047776458133511,-2.0860481903572774,-1.9610044138156524,2.659280616512643,-10.106458349956483,10.737777254423918,-9.600000000000001,-0.1176069382329765
0.235,1.0377187746113419,-2.072483342865042,-2.0115367044338015,2.712969498447033,-9.909583356051598,10.47466235076584,-9.600000000000001,-0.1178217571917139
0.24,1.0274133515108104,-2.058656628835204,-2.061084620106311,2.765342805967672,-9.723485307325745,10.217096304633287,-9.600000000000001,-0.11804079316820387
0.245,1.0168648412830363,-2.0445744874182465,-2.109702045554809,2.8164282833915233,-9.548590132118306,9.958274789353112,-9.600000000000001,-0.1182709459912134
0.25,1.006077616307323,-2.030243389151332,-2.1574449951426673,2.8662196533829243,-9.385234239887495,9.69743910013969,-9.600000000000001,-0.11851427839683377
0.255,0.9950557604809194,-2.015669854925922,-2.2043711652807345,2.9147068450819713,-9.2336485353419,9.433623364054029,-9.600000000000001,-0.11877299239991622
0.26,0.9838030634464012,-2.0008604801346004,-2.2505394069036373,2.961874958264323,-9.093964274277823,9.165666755847695,-9.600000000000001,-0.1190494096579761
0.265,0.9723230173102749,-1.9858219636917005,-2.296009227225265,3.007703288579958,-8.966217292245119,8.892131847232974,-9.600000000000001,-0.11934602576820966
0.27,0.9606188157470869,-1.9705611439690094,-2.340840312637607,3.0521639445382283,-8.850371021443834,8.61279091362428,-9.600000000000001,-0.11966431884573625
0.275,0.9486933549136162,-1.9550850044888448,-2.3850921666941276,3.0952278960329047,-8.746532818997139,8.34377158906807,-9.600000000000001,-0.11999273628114634
0.28,0.9365492307649402,-1.9394002707329023,-2.4288248297351918,3.1369467511884928,-8.654254368672582,8.049898641922539,-9.600000000000001,-0.12036044650918733
0.285,0.9241887502623419,-1.9235142895236055,-2.472096100519662,3.1771962418593693,-8.573437898665361,7.753224885264842,-9.600000000000001,-0.12075101519326266
0.29,0.9116139338175986,-1.9074344777033607,-2.5149632889486573,3.2159623640489614,-8.50377852428096,7.4482820312330205,-9.600000000000001,-0.12116981992145733
0.295,0.8988265229150953,-1.8911684588417934,-2.5574821805006485,3.253203772313476,-8.444861595068915,7.1282281207916185,-9.600000000000001,-0.12162321543004694
0.3,0.8858279904780821,-1.8747242342847825,-2.5997064874026448,3.2888449114021623,-8.396236300017108,6.79174575724619,-9.600000000000001,-0.12211303807514991
0.305,0.872619552138944,-1.858110216089338,-2.6416876678276155,3.3228036390889164,-8.357389984290648,6.437285057382724,-9.600000000000001,-0.12264116775175893
0.31,0.8592021790555666,-1.8413352657706386,-2.683474616675475,3.354990063739853,-8.327648129730278,6.055663085378001,-9.600000000000001,-0.1232153518797739
0.315,0.8455766147742849,-1.8244089238754937,-2.7251128562563354,3.3852683790289833,-8.306301758459313,5.645110959378599,-9.600000000000001,-0.12383724314912312
0.32,0.831743392954324,-1.8073414542043311,-2.766644363992182,3.4134939342325215,-8.292501307540533,5.1988173105894475,-9.600000000000001,-0.12451223755559347
0.325,0.8177028586068662,-1.7901440140954246,-2.808106869491544,3.439488021781325,-8.285256422249631,4.7085327812742435,-9.600000000000001,-0.12524655791747732
0.33,0.8034551928539133,-1.7728288606588505,-2.8495331505905814,3.463030687314809,-8.283435188155863,4.1660550911608425,-9.600000000000001,-0.12604601861579945
0.335,0.7890004412261402,-1.7554095558334926,-2.890950325554619,3.4838609650715626,-8.285742347283076,3.562266673603517,-9.600000000000001,-0.12691672094618694
0.34,0.7743385460443379,-1.7379011943262008,-2.932379036360455,3.5016723014583313,-8.290673169045249,2.885018474654089,-9.600000000000001,-0.127866638987361
0.345,0.7594693840376715,-1.7203207073381546,-2.973832401333283,3.5160973976092693,-8.296507504271403,2.1212017917603134,-9.600000000000001,-0.12890388447288118
0.35,0.7443928093474026,-1.7026871902824303,-3.0153149380537787,3.5267034111448408,-8.301244649215278,1.2533923041481785,-9.600000000000001,-0.1300392339261602
0.355,0.7291087035444772,-1.6850223383920553,-3.056821160585079,3.532970378075008,-8.302597657547267,0.2624209149192893,-9.600000000000001,-0.1312839634374834
0.36,0.7136170328031783,-1.6673509259474513,-3.0983341482597817,3.5342824889207907,-8.297988673983127,-0.8716994078102971,-9.600000000000001,-0.13264898153979723
0.365,0.6979179123475029,-1.6497013059522316,-3.13982409113508,3.5299239990439064,-8.2844499317589,-2.176434615959465,-9.600000000000001,-0.13414989838286068
0.37,0.6820116806453278,-1.6321060967820458,-3.1812463404350253,3.519041834037189,-8.25878735500305,-3.673085650692201,-9.600000000000001,-0.13579615862968444
0.375,0.6658989792603034,-1.6146027147080706,-3.2225402770048914,3.5006764147950302,-8.21582619873584,-5.500637091964563,-9.600000000000001,-0.1376875664692388
0.38,0.6495808822204934,-1.5972368485125836,-3.2636194079620022,3.47317323909741,-8.153183694828385,-7.55218225373028,-9.600000000000001,-0.13972953620113532
